nameTh,nameEn,peakUnitCode
กล่อง,box,PU0001
ชิ้น,piece,PU0002
แท่ง,stick,PU0003
ลัง,box,PU0004
เครื่อง,machine,PU0005
อัน,ea,PU0006
โหล,dozen,PU0007
แพ็ค,pack,PU0008
ตัว,unit,PU0013
ชุด,set,PU0014
ลูก,unit,PU0015
เส้น,line,PU0016
หน่วย,unit,PU0017
แผ่น,sheet,PU0018
ดวง,unit,PU0019
ตับ,set,PU0020
ท่อน,section,PU0021
คู่,pair,PU0022
กระป๋อง,can,PU0023
หลอด,tube,PU0024
แกลลอน,gallon,PU0025
ถัง,tank,PU0026
หัว,head,PU0027
บาน,panel,PU0028
เมตร,meter,PU0029
ใบ,item,PU0030
สูบ,pump,PU0031
ผืน,cloth,PU0032
ม้วน,roll,PU0033
ขวด,bottle,PU0034
นิ้ว,inch,PU0035
วง,ring,PU0036
แผง,panel,PU0037
ตู้,cabinet,PU0038
ต้น,unit,PU0039
ถุง,bag,PU0040
เม็ด,tablet,PU0041